epoch,train_loss,eval_loss
0.004,2.5494,
0.008,2.0241,
0.012,2.004,
0.016,1.9175,
0.02,1.7844,
0.024,1.9173,
0.028,1.915,
0.032,1.9055,
0.036,1.9262,
0.04,1.857,
0.044,1.9075,
0.048,1.9126,
0.052,1.8126,
0.056,1.8495,
0.06,1.8407,
0.064,1.836,
0.068,1.831,
0.072,1.9278,
0.076,1.7562,
0.08,1.8684,
0.084,1.8211,
0.088,1.8669,
0.092,1.9221,
0.096,1.8569,
0.1,1.8347,
0.104,1.8926,
0.108,1.8147,
0.112,1.7604,
0.116,1.7546,
0.12,1.7664,
0.124,1.7765,
0.128,1.8492,
0.132,1.9275,
0.136,1.8277,
0.14,1.8545,
0.144,1.8299,
0.148,1.8076,
0.152,1.7977,
0.156,1.6863,
0.16,1.775,
0.164,1.8098,
0.168,1.8019,
0.172,1.7377,
0.176,1.8133,
0.18,1.7762,
0.184,1.7521,
0.188,1.8414,
0.192,1.7813,
0.196,1.8571,
0.2,1.7423,
0.204,1.7993,
0.208,1.7909,
0.212,1.8841,
0.216,1.7035,
0.22,1.8078,
0.224,1.8115,
0.228,1.7801,
0.232,1.7806,
0.236,1.7547,
0.24,1.7962,
0.244,1.7504,
0.248,1.8159,
0.252,1.7639,
0.256,1.8086,
0.26,1.8669,
0.264,1.7853,
0.268,1.7806,
0.272,1.7175,
0.276,1.8536,
0.28,1.8408,
0.284,1.7771,
0.288,1.7762,
0.292,1.8234,
0.296,1.7849,
0.3,1.7857,
0.304,1.8412,
0.308,1.8315,
0.312,1.7219,
0.316,1.8003,
0.32,1.7998,
0.324,1.8058,
0.328,1.7372,
0.332,1.8212,
0.336,1.783,
0.34,1.7628,
0.344,1.6854,
0.348,1.7979,
0.352,1.8477,
0.356,1.8011,
0.36,1.7613,
0.364,1.7913,
0.368,1.8085,
0.372,1.7733,
0.376,1.7375,
0.38,1.8302,
0.384,1.7415,
0.388,1.8656,
0.392,1.6862,
0.396,1.714,
0.4,1.7563,
0.404,1.7971,
0.408,1.7691,
0.412,1.8584,
0.416,1.8553,
0.42,1.7333,
0.424,1.7384,
0.428,1.7987,
0.432,1.7223,
0.436,1.7591,
0.44,1.7857,
0.444,1.815,
0.448,1.7225,
0.452,1.7541,
0.456,1.7371,
0.46,1.7731,
0.464,1.7202,
0.468,1.7768,
0.472,1.7396,
0.476,1.7717,
0.48,1.7987,
0.484,1.8167,
0.488,1.71,
0.492,1.7225,
0.496,1.8295,
0.5,1.853,
0.504,1.8033,
0.508,1.7036,
0.512,1.7072,
0.516,1.7622,
0.52,1.7428,
0.524,1.8446,
0.528,1.7385,
0.532,1.7951,
0.536,1.7454,
0.54,1.7315,
0.544,1.8025,
0.548,1.7851,
0.552,1.7879,
0.556,1.7093,
0.56,1.7776,
0.564,1.7477,
0.568,1.7991,
0.572,1.7304,
0.576,1.7973,
0.58,1.7281,
0.584,1.6989,
0.588,1.735,
0.592,1.7627,
0.596,1.7577,
0.6,1.728,
0.604,1.6862,
0.608,1.7568,
0.612,1.813,
0.616,1.7844,
0.62,1.8219,
0.624,1.7528,
0.628,1.7587,
0.632,1.765,
0.636,1.66,
0.64,1.7224,
0.644,1.8724,
0.648,1.7056,
0.652,1.7403,
0.656,1.7215,
0.66,1.6577,
0.664,1.7375,
0.668,1.6956,
0.672,1.6973,
0.676,1.7256,
0.68,1.7871,
0.684,1.7407,
0.688,1.7901,
0.692,1.8037,
0.696,1.7289,
0.7,1.7119,
0.704,1.806,
0.708,1.7476,
0.712,1.72,
0.716,1.7202,
0.72,1.6674,
0.724,1.8006,
0.728,1.75,
0.732,1.687,
0.736,1.716,
0.74,1.676,
0.744,1.6617,
0.748,1.71,
0.752,1.7852,
0.756,1.7267,
0.76,1.7676,
0.764,1.683,
0.768,1.6774,
0.772,1.7854,
0.776,1.6485,
0.78,1.6111,
0.784,1.6645,
0.788,1.7551,
0.792,1.7941,
0.796,1.7999,
0.8,1.6703,
0.804,1.6746,
0.808,1.7675,
0.812,1.8026,
0.816,1.7139,
0.82,1.794,
0.824,1.7464,
0.828,1.7612,
0.832,1.7485,
0.836,1.7286,
0.84,1.7453,
0.844,1.804,
0.848,1.7056,
0.852,1.7262,
0.856,1.7166,
0.86,1.6539,
0.864,1.6771,
0.868,1.7118,
0.872,1.741,
0.876,1.7079,
0.88,1.6605,
0.884,1.7255,
0.888,1.7312,
0.892,1.6534,
0.896,1.6634,
0.9,1.6565,
0.904,1.7136,
0.908,1.7717,
0.912,1.677,
0.916,1.6689,
0.92,1.7366,
0.924,1.8365,
0.928,1.7222,
0.932,1.7115,
0.936,1.6903,
0.94,1.6955,
0.944,1.6216,
0.948,1.7523,
0.952,1.7114,
0.956,1.7142,
0.96,1.6993,
0.964,1.7124,
0.968,1.7235,
0.972,1.747,
0.976,1.6954,
0.98,1.6928,
0.984,1.6894,
0.988,1.6955,
0.992,1.7428,
0.996,1.7738,
1.0,1.7102,1.953184962272644
1.004,1.6734,
1.008,1.633,
1.012,1.7103,
1.016,1.6617,
1.02,1.5757,
1.024,1.69,
1.028,1.697,
1.032,1.6694,
1.036,1.6983,
1.04,1.6579,
1.044,1.7547,
1.048,1.7004,
1.052,1.6854,
1.056,1.692,
1.06,1.6695,
1.064,1.7727,
1.068,1.7337,
1.072,1.7273,
1.076,1.7038,
1.08,1.7417,
1.084,1.726,
1.088,1.6823,
1.092,1.6968,
1.096,1.686,
1.1,1.7333,
1.104,1.6837,
1.108,1.7405,
1.112,1.7037,
1.116,1.6986,
1.12,1.6627,
1.124,1.6576,
1.1280000000000001,1.6734,
1.1320000000000001,1.6341,
1.1360000000000001,1.633,
1.1400000000000001,1.626,
1.144,1.6304,
1.148,1.7344,
1.152,1.6532,
1.156,1.6796,
1.16,1.6872,
1.164,1.6537,
1.168,1.7119,
1.172,1.6816,
1.176,1.6783,
1.18,1.7544,
1.184,1.7526,
1.188,1.6146,
1.192,1.6272,
1.196,1.8016,
1.2,1.7076,
1.204,1.6741,
1.208,1.6328,
1.212,1.6328,
1.216,1.7235,
1.22,1.7255,
1.224,1.687,
1.228,1.7153,
1.232,1.7019,
1.236,1.734,
1.24,1.691,
1.244,1.7089,
1.248,1.7054,
1.252,1.5792,
1.256,1.6244,
1.26,1.6126,
1.264,1.6943,
1.268,1.6279,
1.272,1.7007,
1.276,1.6579,
1.28,1.6878,
1.284,1.6876,
1.288,1.7266,
1.292,1.685,
1.296,1.5917,
1.3,1.6038,
1.304,1.6842,
1.308,1.7217,
1.312,1.6705,
1.316,1.7076,
1.32,1.7099,
1.324,1.7101,
1.328,1.7434,
1.332,1.6758,
1.336,1.6596,
1.34,1.6946,
1.3439999999999999,1.7213,
1.3479999999999999,1.6316,
1.3519999999999999,1.6637,
1.3559999999999999,1.7046,
1.3599999999999999,1.6137,
1.3639999999999999,1.6798,
1.3679999999999999,1.6922,
1.3719999999999999,1.6354,
1.376,1.7122,
1.38,1.66,
1.384,1.6816,
1.388,1.6509,
1.392,1.6635,
1.396,1.6757,
1.4,1.6767,
1.404,1.722,
1.408,1.7082,
1.412,1.6706,
1.416,1.7305,
1.42,1.7517,
1.424,1.688,
1.428,1.6359,
1.432,1.7203,
1.436,1.7696,
1.44,1.6182,
1.444,1.747,
1.448,1.6893,
1.452,1.6455,
1.456,1.7455,
1.46,1.6791,
1.464,1.6951,
1.468,1.6326,
1.472,1.7066,
1.476,1.7159,
1.48,1.6585,
1.484,1.7702,
1.488,1.7052,
1.492,1.6143,
1.496,1.7168,
1.5,1.6789,
1.504,1.7031,
1.508,1.6575,
1.512,1.6789,
1.516,1.7202,
1.52,1.7365,
1.524,1.6178,
1.528,1.6889,
1.532,1.6516,
1.536,1.6873,
1.54,1.6979,
1.544,1.6444,
1.548,1.6001,
1.552,1.6792,
1.556,1.7693,
1.56,1.6582,
1.564,1.698,
1.568,1.7149,
1.572,1.665,
1.576,1.6753,
1.58,1.6043,
1.584,1.6933,
1.588,1.6131,
1.592,1.7064,
1.596,1.7274,
1.6,1.7109,
1.604,1.7506,
1.608,1.7445,
1.612,1.6245,
1.616,1.639,
1.62,1.7195,
1.624,1.659,
1.6280000000000001,1.7053,
1.6320000000000001,1.6322,
1.6360000000000001,1.6801,
1.6400000000000001,1.6344,
1.6440000000000001,1.7654,
1.6480000000000001,1.6842,
1.6520000000000001,1.6955,
1.6560000000000001,1.6221,
1.6600000000000001,1.716,
1.6640000000000001,1.617,
1.6680000000000001,1.6447,
1.6720000000000002,1.5989,
1.6760000000000002,1.6607,
1.6800000000000002,1.6889,
1.6840000000000002,1.6488,
1.688,1.6468,
1.692,1.6848,
1.696,1.7052,
1.7,1.6642,
1.704,1.6307,
1.708,1.6729,
1.712,1.7377,
1.716,1.6627,
1.72,1.6566,
1.724,1.709,
1.728,1.63,
1.732,1.8102,
1.736,1.69,
1.74,1.6419,
