epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,6.446311,6.182115,21.89,cuda
2,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.594435,5.879042,20.03,cuda
3,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.249356,5.645878,19.85,cuda
4,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.994411,5.500152,19.85,cuda
5,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.789445,5.387111,20.07,cuda
6,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.617478,5.306315,20.46,cuda
7,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.469386,5.242323,38.38,cuda
8,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.339327,5.165382,38.89,cuda
9,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.223543,5.125734,39.34,cuda
10,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.117205,5.07505,38.97,cuda
11,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.021821,5.05227,38.85,cuda
12,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.933264,5.015231,39.08,cuda
13,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.852108,4.981908,39.19,cuda
14,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.776865,4.949482,39.33,cuda
15,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.706837,4.948263,38.95,cuda
16,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.642452,4.922009,39.17,cuda
17,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.580653,4.898747,39.28,cuda
18,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.523666,4.900461,39.18,cuda
19,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.469157,4.897191,38.84,cuda
20,train_100k.jsonl,absolute,layernorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.418047,4.886522,39.16,cuda
