epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,6.080695,5.926581,29.27,cuda
2,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,5.202278,5.548988,27.1,cuda
3,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,4.76674,5.298348,27.44,cuda
4,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,4.430467,5.150042,49.43,cuda
5,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,4.153244,5.030359,51.9,cuda
6,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.914079,4.875601,52.14,cuda
7,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.703617,4.786901,51.54,cuda
8,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.51893,4.718765,51.87,cuda
9,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.359105,4.638927,51.89,cuda
10,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.218074,4.62187,51.53,cuda
11,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,3.094666,4.544299,51.33,cuda
12,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.984237,4.502931,52.05,cuda
13,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.885293,4.48677,51.59,cuda
14,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.798599,4.455499,52.2,cuda
15,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.717122,4.446841,52.36,cuda
16,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.64427,4.415787,52.2,cuda
17,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.578748,4.402685,52.49,cuda
18,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.516837,4.38866,59.07,cuda
19,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.458313,4.37778,47.45,cuda
20,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,128,0.0003,0.01,60,2.405539,4.380737,46.97,cuda
