epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,5.848765,5.695962,39.11,cuda
2,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,4.884489,5.310555,36.95,cuda
3,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,4.307766,4.962421,37.11,cuda
4,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,3.810623,4.740769,37.33,cuda
5,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,3.414012,4.582308,37.67,cuda
6,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,3.119989,4.508799,37.3,cuda
7,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.893882,4.410862,37.3,cuda
8,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.714777,4.374086,37.43,cuda
9,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.567545,4.325778,37.41,cuda
10,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.446807,4.285936,37.44,cuda
11,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.34225,4.278365,37.0,cuda
12,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.252592,4.259913,37.4,cuda
13,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.172714,4.24589,37.4,cuda
14,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.100536,4.263216,36.93,cuda
15,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,2.03731,4.271125,37.09,cuda
16,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,1.978685,4.252288,37.24,cuda
17,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,1.926259,4.263031,37.8,cuda
18,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,1.877211,4.284148,37.08,cuda
19,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,1.83191,4.290291,37.34,cuda
20,train_100k.jsonl,relative,layernorm,256,4,4,1024,0.1,256,0.001,0.01,60,1.78936,4.315846,45.49,cuda
