epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,6.417165,6.175567,25.56,cuda
2,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.53178,5.812308,23.45,cuda
3,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,5.141612,5.544609,23.31,cuda
4,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.842731,5.396671,23.41,cuda
5,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.5924,5.25684,23.55,cuda
6,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.371834,5.14711,23.48,cuda
7,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,4.175713,5.063471,23.35,cuda
8,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.996945,4.973853,23.23,cuda
9,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.832015,4.885134,23.55,cuda
10,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.682076,4.798009,23.32,cuda
11,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.543493,4.748009,23.35,cuda
12,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.41963,4.692357,23.33,cuda
13,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.307664,4.654566,23.43,cuda
14,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.20647,4.601415,23.23,cuda
15,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.113266,4.589746,23.35,cuda
16,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,3.029294,4.543813,23.24,cuda
17,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.951155,4.53286,23.35,cuda
18,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.8811,4.512742,23.55,cuda
19,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.816125,4.503212,23.23,cuda
20,train_100k.jsonl,relative,rmsnorm,256,4,4,1024,0.1,256,0.0003,0.01,60,2.752949,4.48942,23.33,cuda
