epoch,train_file,pos_type,norm_type,d_model,n_heads,n_layers,d_ff,dropout,batch_size,lr,weight_decay,max_len,train_loss,valid_loss,time_sec,device
1,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,6.914651,6.414917,33.86,cuda
2,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.969512,6.180166,22.73,cuda
3,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.682971,6.00514,22.79,cuda
4,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.470481,5.860405,23.27,cuda
5,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.299464,5.741114,23.67,cuda
6,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.155099,5.639666,18.63,cuda
7,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,5.02577,5.568605,12.31,cuda
8,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.906878,5.497652,12.22,cuda
9,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.797494,5.434296,12.4,cuda
10,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.693414,5.373733,12.77,cuda
11,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.592881,5.311992,12.48,cuda
12,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.497776,5.272036,12.41,cuda
13,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.409845,5.211979,12.5,cuda
14,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.327171,5.183597,12.32,cuda
15,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.249226,5.132408,12.4,cuda
16,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.174649,5.101411,12.32,cuda
17,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.104291,5.075848,12.31,cuda
18,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,4.037319,5.023996,13.13,cuda
19,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,3.974978,4.994367,12.3,cuda
20,train_100k.jsonl,relative,layernorm,128,4,2,512,0.1,256,0.0003,0.01,60,3.915196,4.957974,12.32,cuda
